store_id,sku,price,markdown_flag
store_001,P0001,408.0,False
store_002,P0001,420.0,False
store_003,P0001,362.0,False
store_004,P0001,276.0,True
store_005,P0001,403.0,False
store_006,P0001,354.0,True
store_007,P0001,375.0,False
store_008,P0001,420.0,False
store_009,P0001,341.0,True
store_010,P0001,405.0,False
store_011,P0001,410.0,False
store_012,P0001,385.0,False
store_013,P0001,370.0,False
store_014,P0001,413.0,False
store_015,P0001,369.0,False
store_016,P0001,429.0,False
store_017,P0001,395.0,False
store_018,P0001,371.0,False
store_019,P0001,370.0,False
store_020,P0001,419.0,False
store_021,P0001,404.0,False
store_022,P0001,433.0,False
store_023,P0001,353.0,False
store_024,P0001,360.0,False
store_025,P0001,365.0,False
store_026,P0001,356.0,True
store_027,P0001,417.0,False
store_028,P0001,277.0,True
store_029,P0001,405.0,False
store_030,P0001,427.0,False
store_031,P0001,429.0,False
store_032,P0001,402.0,False
store_033,P0001,356.0,False
store_034,P0001,371.0,False
store_035,P0001,385.0,False
store_036,P0001,410.0,False
store_037,P0001,411.0,False
store_038,P0001,362.0,False
store_039,P0001,403.0,False
store_040,P0001,362.0,False
store_041,P0001,445.0,False
store_042,P0001,433.0,False
store_043,P0001,430.0,False
store_044,P0001,377.0,False
store_045,P0001,429.0,False
store_046,P0001,360.0,False
store_047,P0001,380.0,False
store_048,P0001,411.0,False
store_049,P0001,319.0,True
store_050,P0001,431.0,False
store_001,P0002,581.0,True
store_002,P0002,658.0,False
store_003,P0002,613.0,False
store_004,P0002,476.0,True
store_005,P0002,627.0,False
store_006,P0002,620.0,False
store_007,P0002,594.0,False
store_008,P0002,668.0,False
store_009,P0002,627.0,False
store_010,P0002,652.0,False
store_011,P0002,635.0,False
store_012,P0002,595.0,False
store_013,P0002,552.0,False
store_014,P0002,677.0,False
store_015,P0002,579.0,False
store_016,P0002,472.0,True
store_017,P0002,653.0,False
store_018,P0002,499.0,True
store_019,P0002,610.0,False
store_020,P0002,623.0,False
store_021,P0002,630.0,False
store_022,P0002,629.0,False
store_023,P0002,577.0,False
store_024,P0002,589.0,False
store_025,P0002,569.0,False
store_026,P0002,629.0,False
store_027,P0002,649.0,False
store_028,P0002,586.0,False
store_029,P0002,679.0,False
store_030,P0002,648.0,False
store_031,P0002,656.0,False
store_032,P0002,647.0,False
store_033,P0002,609.0,False
store_034,P0002,606.0,False
store_035,P0002,577.0,False
store_036,P0002,641.0,False
store_037,P0002,665.0,False
store_038,P0002,555.0,False
store_039,P0002,651.0,False
store_040,P0002,583.0,False
store_041,P0002,689.0,False
store_042,P0002,601.0,True
store_043,P0002,628.0,False
store_044,P0002,602.0,False
store_045,P0002,618.0,False
store_046,P0002,558.0,False
store_047,P0002,581.0,False
store_048,P0002,643.0,False
store_049,P0002,618.0,False
store_050,P0002,660.0,False
store_001,P0003,2280.0,False
store_002,P0003,2356.0,False
store_003,P0003,2109.0,False
store_004,P0003,2136.0,False
store_005,P0003,2312.0,False
store_006,P0003,2302.0,False
store_007,P0003,1937.0,False
store_008,P0003,2260.0,False
store_009,P0003,2009.0,True
store_010,P0003,2196.0,False
store_011,P0003,1912.0,True
store_012,P0003,1555.0,True
store_013,P0003,2110.0,False
store_014,P0003,2300.0,False
store_015,P0003,2108.0,False
store_016,P0003,2165.0,False
store_017,P0003,2304.0,False
store_018,P0003,1998.0,False
store_019,P0003,2027.0,False
store_020,P0003,2183.0,False
store_021,P0003,1701.0,True
store_022,P0003,2253.0,False
store_023,P0003,1937.0,False
store_024,P0003,2136.0,False
store_025,P0003,1734.0,True
store_026,P0003,2191.0,False
store_027,P0003,2223.0,False
store_028,P0003,1555.0,True
store_029,P0003,2240.0,False
store_030,P0003,2184.0,False
store_031,P0003,2315.0,False
store_032,P0003,1914.0,True
store_033,P0003,2118.0,False
store_034,P0003,2029.0,False
store_035,P0003,2048.0,False
store_036,P0003,2251.0,False
store_037,P0003,2253.0,False
store_038,P0003,2091.0,False
store_039,P0003,2275.0,False
store_040,P0003,1758.0,True
store_041,P0003,2370.0,False
store_042,P0003,2012.0,True
store_043,P0003,2287.0,False
store_044,P0003,2041.0,False
store_045,P0003,2137.0,False
store_046,P0003,1940.0,False
store_047,P0003,2010.0,False
store_048,P0003,2187.0,False
store_049,P0003,2138.0,False
store_050,P0003,2432.0,False
store_001,P0004,344.0,True
store_002,P0004,460.0,False
store_003,P0004,379.0,False
store_004,P0004,405.0,False
store_005,P0004,440.0,False
store_006,P0004,416.0,False
store_007,P0004,383.0,False
store_008,P0004,450.0,False
store_009,P0004,449.0,False
store_010,P0004,425.0,False
store_011,P0004,395.0,True
store_012,P0004,396.0,False
store_013,P0004,401.0,False
store_014,P0004,338.0,True
store_015,P0004,414.0,False
store_016,P0004,353.0,True
store_017,P0004,453.0,False
store_018,P0004,410.0,False
store_019,P0004,410.0,False
store_020,P0004,440.0,False
store_021,P0004,422.0,False
store_022,P0004,420.0,False
store_023,P0004,391.0,False
store_024,P0004,380.0,False
store_025,P0004,412.0,False
store_026,P0004,445.0,False
store_027,P0004,430.0,False
store_028,P0004,402.0,False
store_029,P0004,418.0,False
store_030,P0004,427.0,False
store_031,P0004,429.0,False
store_032,P0004,422.0,False
store_033,P0004,390.0,False
store_034,P0004,377.0,False
store_035,P0004,296.0,True
store_036,P0004,449.0,False
store_037,P0004,436.0,False
store_038,P0004,406.0,False
store_039,P0004,429.0,False
store_040,P0004,400.0,False
store_041,P0004,477.0,False
store_042,P0004,422.0,False
store_043,P0004,429.0,False
store_044,P0004,407.0,False
store_045,P0004,363.0,True
store_046,P0004,394.0,False
store_047,P0004,400.0,False
store_048,P0004,453.0,False
store_049,P0004,437.0,False
store_050,P0004,462.0,False
store_001,P0005,1254.0,False
store_002,P0005,1225.0,False
store_003,P0005,1071.0,False
store_004,P0005,1086.0,False
store_005,P0005,1191.0,False
store_006,P0005,1255.0,False
store_007,P0005,1135.0,False
store_008,P0005,1252.0,False
store_009,P0005,835.0,True
store_010,P0005,1198.0,False
store_011,P0005,1213.0,False
store_012,P0005,895.0,True
store_013,P0005,1033.0,False
store_014,P0005,1189.0,False
store_015,P0005,1113.0,False
store_016,P0005,1238.0,False
store_017,P0005,1243.0,False
store_018,P0005,1123.0,False
store_019,P0005,1144.0,False
store_020,P0005,1195.0,False
