StoreID,StoreName,City,ClimateTag,StyleCode,StyleName,Colour,Brick,Segment,Fabric,CurrentStock,ReorderPoint,SafetyStock,StockStatus,LastUpdated
ST01,Store 1,Delhi,"Winter-heavy, North",AAS711,AeroActive Shorts,Black,Shorts,Mens,Poly Knit,89,26,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",ADJ660,AllDay Denim Jogger,Dark Blue,Jogger,Mens,Denim,84,25,16,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",ALV310,AeroLite Vest,Black,Vest,Mens,Poly Blend,142,42,28,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",APJ001,Alpine Puffer Jacket,Navy,Jacket,Mens,Polyester,204,61,40,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",BLK212,BreezeLite Kurta,Teal,Kurta,Mens,Cotton-Linen,125,37,25,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",BOS120,Boardroom Oxford Shirt,Light Blue,Shirt,Mens,Oxford Cotton,107,32,21,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",BSS260,Bedtime Story Set,Baby Blue,Pyjama Set,Kids,Cotton,113,33,22,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CLS920,Coastline Linen Shirt,Sand,Shirt,Mens,Linen,102,30,20,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CLT612,CloudSoft Lounge Tee,Grey,T-Shirt,Mens,Cotton,71,21,14,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CMH215,ChillMode Hoodie,Bottle Green,Hoodie,Mens,Fleece,86,25,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CNPS778,CozyNest Pyjama Set,Lavender,Pyjama Set,Womens,Cotton,51,15,10,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CSC332,CityStride Chinos,Stone,Trousers,Mens,Cotton,116,34,23,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",CWS888,CloudWalk Sneakers,White,Shoes,Mens,Mesh,164,49,32,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",DFJ821,Denim Force Jeans,Indigo,Jeans,Mens,Denim,175,52,35,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",EVT040,Everyday Tank,White,Vest,Mens,Cotton,176,52,35,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",FAK288,FestiveAura Kurta,Mustard,Kurta,Womens,Rayon-Silk,149,44,29,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",FSK507,FestiveSpark Kurta,Emerald,Kurta,Mens,Silk Blend,172,51,34,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",GSJ014,Glacier Shield Jacket,Olive,Jacket,Mens,Nylon Blend,203,60,40,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",HGH112,HeatGuard Hoodie,Black,Hoodie,Mens,Fleece,75,22,15,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",HNJ333,Heritage Nehru Jacket,Ivory,Jacket,Mens,Silk Blend,336,100,67,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",LSK551,LuxeSilk Kurta Set,Maroon,Kurta Set,Womens,Silk Blend,118,35,23,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",MGJ720,MonsoonGuard Jacket,Forest Green,Jacket,Womens,Waterproof Nylon,246,73,49,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",MMD777,Midnight Maxi Dress,Navy,Dress,Womens,Viscose,113,33,22,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",MRT210,MorningRun Tee,Neon Green,T-Shirt,Mens,Polyester,120,36,24,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",MSS441,MetroStretch Shirt,White,Shirt,Mens,Poplin,112,33,22,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",ODS901,OceanWash Denim Shirt,Light Blue,Shirt,Mens,Denim,90,27,18,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",PTD412,Playtime Dungaree,Denim Blue,Dungaree,Kids,Denim,120,36,24,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",RDW300,RainDance Windcheater,Yellow,Jacket,Kids,Nylon,66,19,13,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SBD931,SummerBloom Dress,Peach,Dress,Womens,Rayon,59,17,11,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SFL909,SparkFest Lehenga Set,Fuchsia,Lehenga Set,Girls,Silk Blend,88,26,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SGP880,StormGuard Parka,Deep Green,Jacket,Mens,Polyester,156,46,31,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SKT145,SunSafe Kids Tee,Orange,T-Shirt,Kids,Cotton,87,26,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SRS744,Sunset Resort Shirt,Coral,Shirt,Mens,Rayon,93,27,18,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",SYL330,Studio Yoga Leggings,Black,Leggings,Womens,Nylon-Spandex,87,26,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",TFC331,TerraFlex Cargo,Khaki,Cargo,Mens,Twill,170,51,34,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",TFS522,TerraForm Shorts,Beige,Shorts,Mens,Cotton Twill,67,20,13,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",TTP665,TrailBlaze Trackpant,Charcoal,Jogger,Mens,Poly Knit,143,42,28,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",UEO543,UrbanEdge Overshirt,Charcoal,Shirt,Mens,Twill,151,45,30,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",ULP019,UltraLite Polo,Sky Blue,T-Shirt,Mens,Pique Knit,192,57,38,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",WJS555,Weekend Jog Set,Navy,Tracksuit,Mens,Cotton Blend,85,25,17,IN_STOCK,2025-12-06 08:20:41
ST01,Store 1,Delhi,"Winter-heavy, North",WST661,WinterShield Thermal,Charcoal,Thermal,Mens,Thermal Cotton,223,66,44,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",AAS711,AeroActive Shorts,Black,Shorts,Mens,Poly Knit,67,20,13,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",ADJ660,AllDay Denim Jogger,Dark Blue,Jogger,Mens,Denim,62,18,12,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",ALV310,AeroLite Vest,Black,Vest,Mens,Poly Blend,73,21,14,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",APJ001,Alpine Puffer Jacket,Navy,Jacket,Mens,Polyester,171,51,34,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",BLK212,BreezeLite Kurta,Teal,Kurta,Mens,Cotton-Linen,147,44,29,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",BOS120,Boardroom Oxford Shirt,Light Blue,Shirt,Mens,Oxford Cotton,192,57,38,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",BSS260,Bedtime Story Set,Baby Blue,Pyjama Set,Kids,Cotton,151,45,30,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CLS920,Coastline Linen Shirt,Sand,Shirt,Mens,Linen,83,24,16,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CLT612,CloudSoft Lounge Tee,Grey,T-Shirt,Mens,Cotton,144,43,28,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CMH215,ChillMode Hoodie,Bottle Green,Hoodie,Mens,Fleece,101,30,20,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CNPS778,CozyNest Pyjama Set,Lavender,Pyjama Set,Womens,Cotton,80,24,16,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CSC332,CityStride Chinos,Stone,Trousers,Mens,Cotton,75,22,15,IN_STOCK,2025-12-06 08:20:41
ST02,Store 2,Jaipur,"Semi-winter, Festive",CWS888,CloudWalk Sneakers,White,Shoes,Mens,Mesh,55,16,11,IN_STOCK,2025-12-06 08:20:41
